neighbourhood_code,property_count,valid_percentage_change_count,median_current_total_assessed_value,median_previous_total_assessed_value,median_absolute_value_change,median_percentage_value_change,mean_percentage_value_change,increase_count,decrease_count,no_change_count,missing_percentage_change_count,share_increase,share_decrease,share_no_change,share_missing_percentage_change,extreme_high_count,extreme_low_count
1,30716.0,30460.0,2970000.0,2947000.0,24000.0,1.36374899347721,601.8497673637926,17098.0,13141.0,221.0,256.0,55.66480010418024,42.78226331553588,0.7194947258757651,0.833441854408126,62.0,2.0
2,107078.0,104431.0,1229000.0,1204000.0,16200.0,1.486417221937468,1.6053354087329237,61215.0,41949.0,1267.0,2647.0,57.168606062870055,39.17611460804273,1.1832495937540857,2.4720297353331215,53.0,32.0
3,34950.0,34439.0,2913400.0,2899700.0,35000.0,1.6172506738544474,1.199457999555625,20746.0,13551.0,142.0,511.0,59.359084406294706,38.772532188841204,0.40629470672389134,1.4620886981402004,52.0,0.0
4,28349.0,28124.0,2977000.0,2963000.0,25250.0,1.4623743422879691,730.430381864573,16195.0,11772.0,157.0,225.0,57.12723552859007,41.525274260115,0.5538114219196444,0.7936787893752866,33.0,2.0
5,30853.0,30350.0,2736000.0,2728000.0,23000.0,1.196640778376575,0.9687249551554611,17749.0,12225.0,376.0,503.0,57.527631024535694,39.62337536058082,1.2186821378796227,1.6303114770038571,64.0,2.0
6,15268.0,15135.0,3322000.0,3321000.0,29500.0,0.9667224391150772,1.7611435107270048,8556.0,6536.0,43.0,133.0,56.03877390620906,42.808488341629555,0.28163479172124706,0.8711029604401362,58.0,1.0
7,94187.0,93593.0,881000.0,870000.0,8000.0,1.0263929618768328,1.2233122972094501,51339.0,40183.0,2071.0,594.0,54.50752226952764,42.663000201726355,2.198817246541455,0.6306602822045505,41.0,56.0
8,17703.0,17546.0,4533000.0,4576099.0,49000.0,1.556086933965918,0.07264923024852656,10441.0,6972.0,133.0,157.0,58.978704174433716,39.383155397390276,0.7512850929221035,0.8868553352539117,19.0,0.0
9,43454.0,40161.0,2028000.0,2133600.0,12000.0,1.078167115902965,1.395927650960914,22210.0,17346.0,605.0,3293.0,51.11152022828739,39.91807428545128,1.3922768905049017,7.578128595756432,150.0,13.0
10,22835.0,22434.0,3585000.0,3589000.0,17000.0,0.4678363284180627,1032.359172367819,12260.0,10033.0,141.0,401.0,53.68951171447339,43.936938909568646,0.6174731771403547,1.7560761988176046,31.0,2.0
11,23981.0,21929.0,1751500.0,1861600.0,7500.0,0.6430868167202572,0.349189757814964,11725.0,9784.0,420.0,2052.0,48.892873524873856,40.79896584796297,1.7513865143238396,8.556774112839332,42.0,7.0
12,48117.0,46399.0,1358000.0,1364000.0,7000.0,0.9719222462203023,0.7265152124514465,26017.0,19744.0,638.0,1718.0,54.07028700874951,41.033314628925325,1.3259347008333853,3.57046366149178,77.0,11.0
13,131447.0,126329.0,825000.0,821000.0,2400.0,0.30557677616501144,6219.970801064059,65314.0,58114.0,2901.0,5118.0,49.68846759530457,44.21097476549484,2.206973152677505,3.8935844865230855,401.0,140.0
14,74200.0,70451.0,1364293.5,1338000.0,18000.0,1.6966580976863752,5.985773635600996,42480.0,26668.0,1303.0,3749.0,57.25067385444744,35.94070080862534,1.7560646900269543,5.05256064690027,90.0,46.0
15,40666.0,38890.0,1494400.0,1465000.0,23000.0,2.299251071328447,4529.677287813058,23056.0,15363.0,471.0,1776.0,56.69601141002312,37.77848817193725,1.1582157084542368,4.3672847095854035,85.0,15.0
16,48242.0,47209.0,1766000.0,1706100.0,38000.0,2.661064425770308,2.9523791625569626,29158.0,17663.0,388.0,1033.0,60.44110940674101,36.61332448903445,0.8042784295841798,2.141287674640355,117.0,8.0
17,45614.0,44435.0,1744600.0,1697000.0,63100.0,3.802588996763754,3.1389738445354967,26579.0,17665.0,191.0,1179.0,58.269390976454595,38.727145174727056,0.41873109133160874,2.5847327574867367,77.0,0.0
18,37686.0,34231.0,751000.0,739000.0,8000.0,1.054481546572935,1691.860855282106,19082.0,14200.0,949.0,3455.0,50.63418776203365,37.67977498275222,2.5181765111712573,9.16786074404288,102.0,18.0
19,36763.0,35830.0,1663300.0,1612000.0,50000.0,3.479687522819092,3.1856547689912036,23318.0,12380.0,132.0,933.0,63.42790305470174,33.67516252754128,0.35905666022903465,2.537877757527949,43.0,4.0
20,40299.0,38429.0,1582600.0,1535000.0,42000.0,2.7763755678950024,3.326531285501136,24428.0,13699.0,302.0,1870.0,60.61688875654483,33.993399339933994,0.7493982480954863,4.640313655425693,72.0,6.0
21,29478.0,28580.0,1690600.0,1617000.0,38000.0,3.4521473235499123,3.449521569445008,19560.0,8820.0,200.0,898.0,66.3545695094647,29.920618766537753,0.678472080873872,3.0463396431236855,52.0,3.0
22,32204.0,31657.0,1707000.0,1651000.0,83000.0,5.41838134430727,3.831571874603158,19372.0,12241.0,44.0,547.0,60.15401813439324,38.01080611104211,0.13662899018755434,1.6985467643770962,51.0,5.0
23,91074.0,87453.0,885000.0,879000.0,12000.0,2.127659574468085,2.4888413165449395,51323.0,35019.0,1111.0,3621.0,56.35307552100489,38.45114961459912,1.219887124755693,3.9758877396402923,93.0,14.0
24,36695.0,36107.0,1854000.0,1792000.0,70000.0,3.6242603550295858,3.4716773748523115,23218.0,12766.0,123.0,588.0,63.27292546668484,34.78948085570241,0.33519553072625696,1.6023981468864967,70.0,4.0
25,33841.0,33433.0,1492000.0,1455950.0,34000.0,3.453689167974882,962.9648041091393,21406.0,11799.0,228.0,408.0,63.25463195532047,34.86599095771402,0.6737389557046187,1.2056381312608966,38.0,2.0
26,124630.0,122880.0,704000.0,713000.0,-5000.0,-0.6622516556291391,2024.3885896848356,55504.0,64788.0,2588.0,1750.0,44.53502367006339,51.98427344941025,2.0765465778704963,1.4041563026558612,66.0,26.0
27,62222.0,59766.0,814000.0,802000.0,3000.0,0.35824242835627684,851.0412053551007,31201.0,27475.0,1090.0,2456.0,50.14464337372634,44.156407701456075,1.7517919706856095,3.9471569541319793,16.0,8.0
28,14275.0,14189.0,2246000.0,2323000.0,-64000.0,-3.2420749279538903,-2.934078976628131,4224.0,9714.0,251.0,86.0,29.590192644483366,68.04903677758318,1.7583187390542907,0.6024518388791594,9.0,8.0
29,109899.0,107875.0,694000.0,700000.0,-6000.0,-0.8806262230919765,-0.8754181618216533,47718.0,58359.0,1798.0,2024.0,43.41986733273278,53.102394016324084,1.6360476437456208,1.8416910071975177,140.0,4.0
30,65937.0,65359.0,1070000.0,1085000.0,-12000.0,-1.0638297872340425,-0.4024076552478309,26051.0,36839.0,2469.0,578.0,39.50892518616255,55.869997118461555,3.7444833704900136,0.8765943248858759,24.0,6.0
